# (c) Der Bundeswahlleiter, Wiesbaden 2016
# 
# Wahl der Abgeordneten zum 8. Europäischen Parlament aus der Bundesrepublik Deutschland (25. Mai 2014)
# Endgültige Ergebnisse sowie der Vorperiode nach kreisfreien Städten und Landkreisen
# 
Nr;Gebiet;gehört;Wahlberechtigte;Wahlberechtigte;Wähler;Wähler;Ungültige;Ungültige;Gültige;Gültige;CDU;CDU;SPD;SPD;GRÜNE;GRÜNE;FDP;FDP;DIE LINKE;DIE LINKE;CSU;CSU;FREIE WÄHLER;FREIE WÄHLER;REP;REP;Tierschutzpartei;Tierschutzpartei;FAMILIE;FAMILIE;PIRATEN;PIRATEN;ÖDP;ÖDP;PBC;PBC;Volksabstimmung;Volksabstimmung;BP;BP;CM;CM;AUF;AUF;DKP;DKP;BüSo;BüSo;PSG;PSG;AfD;AfD;PRO NRW;PRO NRW;MLPD;MLPD;NPD;NPD;Die PARTEI;Die PARTEI;Übrige;Übrige;
;;zu;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;
5774;"Paderborn";5;227655;223632;119851;92949;1606;893;118245;92056;58370;47553;27419;14949;11167;10245;3934;10117;5192;2783;;;474;216;211;606;964;562;624;641;1575;846;245;191;164;393;216;184;43;49;102;183;187;92;17;36;25;11;25;21;5932;;214;;25;;542;;578;;;2378;
5911;"Bochum, Stadt";5;279538;285881;140112;109696;1803;1207;138309;108489;34655;31369;54856;35994;16380;15779;4422;9424;9240;7575;;;530;234;321;1021;2040;1373;617;703;2435;1239;308;162;134;162;346;273;42;43;98;115;113;96;106;125;45;56;33;43;7878;;1191;;183;;1215;;1121;;;2703;
5913;"Dortmund, Stadt";5;420999;424350;199861;169212;3146;1413;196715;167799;49130;45742;77250;56117;24623;24813;5957;16507;12770;11158;;;641;465;570;1373;2604;1865;862;895;3968;1846;364;185;136;155;669;389;69;58;86;146;145;84;229;226;75;71;52;40;11693;;794;;261;;1998;;1769;;;5664;
5914;"Hagen, Stadt der FernUniversität";5;135884;140585;65301;47654;1037;453;64264;47201;19551;16139;25297;13875;5049;5066;2188;5144;3353;2572;;;206;154;335;1087;947;624;314;313;839;382;101;50;79;92;172;129;32;25;53;53;62;52;36;43;18;17;10;10;4058;;793;;65;;430;;276;;;1374;
5915;"Hamm, Stadt";5;127995;129484;68038;50551;1365;548;66673;50003;24820;19112;25699;15544;4273;4435;1767;4984;3096;2655;;;156;73;253;590;708;421;275;310;873;379;50;43;51;44;173;88;22;28;30;58;55;27;35;34;14;9;10;12;2980;;304;;18;;733;;278;;;1157;
5916;"Herne, Stadt";5;114782;118497;50556;44267;792;619;49764;43648;13028;12479;21426;16436;3711;4020;1165;3329;3083;3239;;;197;73;312;1335;689;536;241;313;868;417;68;40;53;71;143;102;8;22;30;45;63;71;29;41;16;10;11;12;3224;;436;;61;;591;;311;;;1057;
5954;"Ennepe-Ruhr-Kreis";5;256497;261546;134030;110192;1781;1227;132249;108965;37469;33484;51567;34357;14202;14815;5068;12323;6966;5804;;;561;286;353;951;1908;1357;616;736;1857;894;294;142;222;244;300;274;40;63;91;125;117;98;95;113;41;29;32;59;7832;;1032;;154;;707;;725;;;2811;
5958;"Hochsauerlandkreis";5;205528;209968;113822;94798;1772;974;112050;93824;56351;50354;30861;18514;6501;6093;4045;10816;3493;2725;;;577;217;274;637;1038;657;561;630;1171;569;179;108;67;87;249;184;40;44;92;153;122;87;24;39;19;19;18;11;5111;;255;;20;;528;;454;;;1880;
5962;"Märkischer Kreis";5;311957;321366;146283;123303;2116;1349;144167;121954;55471;49339;48283;30509;10148;11282;5420;15001;6008;5375;;;507;376;469;1580;1832;1380;840;887;1974;918;343;165;462;526;470;329;56;86;140;223;226;182;52;97;33;29;21;31;9394;;543;;54;;917;;504;;;3639;
5966;"Olpe";5;103744;104744;56226;45909;683;416;55543;45493;29649;26755;13842;7652;3058;2910;1795;4638;1485;1159;;;175;78;120;493;447;254;295;279;424;220;77;50;30;42;112;65;17;24;45;67;63;33;17;25;9;9;20;13;3278;;165;;11;;248;;161;;;727;
5970;"Siegen-Wittgenstein";5;215420;218702;115233;85847;1717;937;113516;84910;41006;34079;40356;22031;8301;8625;4039;9802;5159;3448;;;367;231;406;1092;1316;769;585;494;1215;591;295;190;617;981;314;242;65;57;188;198;229;238;82;67;39;16;19;20;7179;;397;;46;;786;;510;;;1739;
5974;"Soest";5;232293;232801;123332;92714;1794;843;121538;91871;51536;42027;38340;21132;9841;8839;4672;10572;4531;3506;;;313;226;294;611;1253;741;729;710;1499;689;238;112;145;160;286;196;63;44;121;174;130;69;42;46;44;24;17;32;6002;;301;;35;;569;;537;;;1961;
5978;"Unna";5;309601;314031;158808;132332;2336;1460;156472;130872;45353;40685;66065;45042;13995;14734;4633;13550;7381;6926;;;936;421;495;1230;1929;1337;812;953;2537;1069;211;147;150;150;458;309;51;54;87;132;121;100;59;71;33;40;32;22;8491;;501;;67;;1348;;727;;;3900;
