# (c) Der Bundeswahlleiter, Wiesbaden 2016
# 
# Wahl der Abgeordneten zum 5. Europäischen Parlament aus der Bundesrepublik Deutschland (13. Juni 1999)
# Endgültige Ergebnisse nach kreisfreien Städten und Landkreisen
# 
Kreis-Nr.;Text;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;GRÜNE;CSU;PDS;F.D.P.;REP;GRAUE;ödp;APD;PASS;BP;PBC;NATURGESETZ;NPD;CM;BüSo;FAMILIE;ASP;ZENTRUM;DIE FRAUEN;HP;Tierschutz
06 4 11; Darmstadt, Stadt;96967;41691;421;41270;13163;16498;6681;0;1172;2043;431;120;88;76;47;0;117;66;119;30;20;0;39;9;226;15;310
06 4 12; Frankfurt am Main, Stadt;381552;159783;1561;158222;45212;69755;22895;0;5321;7276;3310;694;351;279;301;0;226;240;349;109;56;0;114;29;616;85;1004
06 4 13; Offenbach am Main, Stadt;68511;26138;329;25809;7993;12061;2494;0;678;928;860;133;29;64;54;0;30;36;90;25;7;0;28;8;110;9;172
06 4 14; Wiesbaden, Landeshauptstadt;185542;75045;783;74262;22650;35543;7453;0;1400;3237;1949;255;121;186;77;0;266;105;127;52;71;0;68;21;203;26;452
06 4 31; Bergstraße;194003;83579;1317;82262;26921;41623;5253;0;814;2948;2260;256;111;227;98;0;168;102;143;95;17;0;98;26;261;28;813
06 4 32; Darmstadt-Dieburg;203103;88226;1426;86800;31842;37859;8099;0;1228;3568;1371;238;146;283;122;0;368;155;305;60;35;0;96;18;321;24;662
06 4 33; Groß-Gerau;166863;68291;1024;67267;26654;28270;5561;0;1095;2095;1724;249;94;180;73;0;127;108;157;47;20;0;73;8;235;22;475
06 4 34; Hochtaunuskreis;161748;77807;669;77138;19105;41810;6639;0;989;5265;1352;230;179;169;80;0;120;122;143;69;15;0;74;15;235;25;502
06 4 35; Main-Kinzig-Kreis;289982;112250;1406;110844;37969;53918;7387;0;1698;3648;3007;308;155;357;129;0;252;153;328;135;23;0;133;30;385;34;795
06 4 36; Main-Taunus-Kreis;157836;75649;797;74852;19015;41481;6184;0;903;4080;1379;244;86;202;61;0;92;101;156;67;19;0;62;13;243;21;443
06 4 37; Odenwaldkreis;71469;31310;706;30604;12558;13077;1904;0;378;996;853;71;50;88;27;0;103;34;79;19;8;0;19;8;104;11;217
06 4 38; Offenbach;232025;98092;1240;96852;27851;51832;7285;0;1320;3975;1941;363;193;252;120;0;141;126;162;140;19;0;109;20;306;27;670
06 4 39; Rheingau-Taunus-Kreis;134048;54546;636;53910;16447;27418;4409;0;573;2548;1125;157;74;149;51;0;120;76;97;38;19;0;65;14;171;14;345
06 4 40; Wetteraukreis;212166;87555;1197;86358;30790;40947;5865;0;1159;3276;1318;223;117;252;91;0;234;110;926;58;19;0;92;17;274;28;562
06 5 31; Gießen;184231;77630;944;76686;27410;34093;6300;0;1527;3362;1804;161;143;190;108;0;303;119;271;64;16;0;77;17;277;25;419
06 5 32; Lahn-Dill-Kreis;192426;71876;705;71171;25717;34358;3758;0;771;2425;1414;152;93;213;71;0;667;73;725;90;19;0;53;9;176;25;362
06 5 33; Limburg-Weilburg;128688;54311;738;53573;16826;30299;2453;0;386;1576;822;115;53;156;55;0;73;41;148;57;16;0;55;24;165;12;241
06 5 34; Marburg-Biedenkopf;181603;76222;666;75556;26591;33378;7201;0;2042;2355;1840;152;134;188;85;0;381;109;175;122;35;0;68;12;252;27;409
