Nr;Gebiet;gehört;Wahlberechtigte;Wahlberechtigte;Wähler;Wähler;Ungültige;Ungültige;Gültige;Gültige;CDU;CDU;SPD;SPD;GRÜNE;GRÜNE;CSU;CSU;DIE LINKE;DIE LINKE;FDP;FDP;REP;REP;Die Tierschutzpartei;Die Tierschutzpartei;FAMILIE;FAMILIE;ödp;ödp;DIE FRAUEN;DIE FRAUEN;Volksabstimmung;Volksabstimmung;PBC;PBC;CM;CM;AUFBRUCH;AUFBRUCH;DKP;DKP;BP;BP;PSG;PSG;BüSo;BüSo;50Plus;50Plus;AUF;AUF;DVU;DVU;DIE GRAUEN;DIE GRAUEN;DIE VIOLETTEN;DIE VIOLETTEN;EDE;EDE;FBI;FBI;VOLKSENTSCHEIDE;VOLKSENTSCHEIDE;FW FREIE WÄHLER;FW FREIE WÄHLER;Newropeans;Newropeans;PIRATEN;PIRATEN;RRP;RRP;RENTNER;RENTNER;Übrige;Übrige;
;;zu;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;Endgültig;Vorperiode;
3355;"Lüneburg";3;136455;132617;58251;53896;557;722;57694;53174;18400;20488;13419;12730;12404;11178;;;2805;1389;6432;3750;254;353;499;583;444;426;92;108;133;181;150;185;115;143;40;50;41;63;48;63;31;;15;41;13;33;101;;55;;315;;99;;106;;20;;63;;48;;165;;24;;475;;450;;438;;;1410;
3356;"Osterholz";3;88650;87211;36722;33872;293;413;36429;33459;12281;12695;10449;9688;5689;5431;;;1653;654;3807;2314;244;432;368;445;236;250;56;50;80;140;88;123;85;153;25;29;21;41;17;46;21;;7;28;7;25;83;;18;;144;;88;;42;;12;;26;;36;;103;;12;;263;;144;;324;;;915;
3357;"Rotenburg (Wümme)";3;127867;125079;56926;50379;836;579;56090;49800;24161;25265;13708;11493;6318;5652;;;1826;600;6255;3787;314;310;447;395;423;367;60;53;149;172;134;175;178;317;63;58;51;58;27;37;14;;14;36;18;34;106;;40;;204;;102;;57;;7;;57;;75;;385;;19;;411;;135;;332;;;991;
3358;"Soltau-Fallingbostel";3;109401;108857;41325;41059;304;530;41021;40529;17103;19826;10571;10372;4457;4082;;;1512;627;4461;2378;315;672;421;459;308;331;42;62;94;156;101;173;142;230;27;49;37;47;18;29;19;;12;35;11;18;63;;38;;213;;78;;36;;11;;42;;34;;128;;10;;283;;143;;291;;;983;
3359;"Stade";3;153069;149663;57874;58175;540;984;57334;57191;24273;26582;14337;15416;6987;6793;;;2109;824;5831;3917;319;331;485;494;455;402;75;66;129;186;121;242;96;141;46;55;45;52;29;39;16;;14;28;10;34;120;;41;;178;;93;;74;;17;;34;;56;;298;;19;;419;;216;;392;;;1589;
3360;"Uelzen";3;76664;77360;31466;29777;285;412;31181;29365;12445;13977;7720;7437;4350;4272;;;1116;462;3011;1526;198;228;260;263;200;175;47;44;68;90;55;118;83;75;25;36;25;30;26;25;11;;11;18;8;16;54;;44;;90;;51;;37;;7;;22;;39;;147;;11;;189;;429;;402;;;573;
3361;"Verden";3;103561;102027;40662;39390;333;381;40329;39009;14778;15631;10617;10904;6342;5959;;;1492;846;4095;2689;278;321;373;432;247;292;57;57;88;137;124;154;119;255;24;34;28;28;16;17;12;;7;19;6;13;85;;30;;130;;73;;74;;8;;27;;48;;134;;20;;328;;267;;402;;;1221;
3401;"Delmenhorst, Stadt";3;57535;57441;19833;17710;214;344;19619;17366;6500;6963;5879;5430;2203;1962;;;1145;428;1988;1123;138;209;330;222;139;132;26;42;68;72;69;97;27;29;25;38;16;26;13;35;8;;5;11;2;11;78;;11;;130;;74;;12;;9;;22;;24;;81;;17;;212;;140;;228;;;536;
3402;"Emden, Stadt";3;39217;38774;12528;12173;174;301;12354;11872;3158;3226;5004;5288;1856;1431;;;550;238;1026;947;62;88;100;138;55;64;12;21;23;39;22;62;54;55;11;12;8;12;11;32;6;;5;7;2;11;19;;8;;38;;18;;9;;4;;5;;7;;52;;9;;110;;36;;74;;;201;
3403;"Oldenburg (Oldenburg), Stadt";3;123278;120562;49467;45236;412;607;49055;44629;13575;14278;12626;11639;11469;11314;;;2932;1676;5065;3327;170;153;431;402;260;278;114;74;158;155;94;173;75;83;31;54;44;40;61;104;20;;19;46;5;39;146;;36;;94;;68;;92;;23;;36;;30;;217;;31;;757;;128;;248;;;794;
3404;"Osnabrück, Stadt";3;118495;119389;51047;50966;342;545;50705;50421;20304;22233;12119;12212;8420;9358;;;2407;926;4981;3177;161;206;326;397;187;203;82;97;102;154;112;142;85;114;36;42;25;49;49;92;28;;17;41;9;26;55;;40;;61;;65;;62;;20;;28;;34;;161;;28;;465;;79;;157;;;952;
3405;"Wilhelmshaven, Stadt";3;64831;66316;22145;22380;274;535;21871;21845;7424;8825;6137;6916;2190;1979;;;1402;530;2607;1730;208;257;287;303;117;167;25;25;68;112;40;121;23;40;10;26;11;29;11;29;12;;9;26;7;14;58;;9;;81;;41;;27;;6;;27;;25;;308;;14;;209;;158;;320;;;716;
3451;"Ammerland";3;91753;88126;35233;31573;387;507;34846;31066;12923;13949;9141;8158;4470;3849;;;1037;442;5082;2872;146;199;339;272;271;259;45;43;74;114;79;136;59;40;21;35;17;34;14;27;15;;3;20;13;18;78;;36;;78;;50;;30;;18;;30;;25;;130;;19;;263;;128;;212;;;599;
3452;"Aurich";3;150325;147023;52852;50874;1023;1636;51829;49238;15943;17485;19507;20122;5744;4789;;;2603;833;4360;2586;319;539;520;657;353;396;43;54;158;219;85;217;106;124;48;71;46;65;35;58;27;;10;48;12;29;185;;39;;171;;69;;62;;11;;49;;42;;459;;17;;283;;152;;371;;;946;
